,Domain,Course,Similarity
361,"Associate Account Strategist, Global Customer Experience (Ukrainian)",CSE 101,0.08424092181958258
362,"Partner Development Manager, Online Partnerships Group (English, Mandarin)",CSE 101,0.08407561625353992
363,"Financial Analyst, Central Finance Planning and Analysis",CSE 101,0.0838922468945384
364,Senior Financial Analyst,CSE 101,0.0838922468945384
365,Staffing Project Lead,CSE 101,0.0838922468945384
366,"Account Executive, Waze (Spanish)",CSE 101,0.0836160855134949
367,"App Specialist, App Developer Sales (German)",CSE 101,0.0836160855134949
368,"Product Strategy and Operations Lead, Consumer Payments (English, Russian)",CSE 101,0.0836160855134949
369,"Senior Accountant, Revenue, Cloud Business Finance",CSE 101,0.0836160855134949
370,"Associate Account Strategist, Sales, Google Marketing Solutions (English and Russian)",CSE 101,0.08287504050094867
371,"Curriculum Architect Manager, Scaled Engagement and Learning, Google Technical Services",CSE 101,0.08287504050094867
372,"Online Partner Manager (MENA), YouTube",CSE 101,0.08287504050094867
373,Facilities Manager,CSE 101,0.08250579953892156
374,Campus Security Manager,CSE 101,0.08249941421672702
375,"Copywriter, Web, Google Cloud",CSE 101,0.08249941421672702
376,"Partner Business Manager, System Integrator Partnerships",CSE 101,0.08244490809738636
377,"Partner Growth Lead, Global Technology Partnerships (English, German)",CSE 101,0.08244490809738636
